,Source,Destination,Protocol,Length,Info
55,184.28.149.182,10.0.2.15,TCP,60,"443  >  53711 [RST, ACK] Seq=4280112240 Ack=2 Win=0 Len=0"
56,184.28.149.182,10.0.2.15,TCP,60,"443  >  53630 [RST, ACK] Seq=4292784732 Ack=2 Win=0 Len=0"
57,184.28.149.182,10.0.2.15,TCP,60,"443  >  53618 [RST, ACK] Seq=4293551781 Ack=2 Win=0 Len=0"
58,10.0.2.15,184.28.149.182,TCP,54,"53631  >  443 [RST, ACK] Seq=2 Ack=32 Win=0 Len=0"
59,10.0.2.15,184.28.149.182,TCP,54,53631  >  443 [RST] Seq=2 Win=0 Len=0
60,184.28.149.182,10.0.2.15,TCP,60,"443  >  53631 [RST, ACK] Seq=4292720732 Ack=2 Win=0 Len=0"
61,184.28.149.182,10.0.2.15,TLSv1.2,85,Encrypted Alert
62,184.28.149.182,10.0.2.15,TCP,60,"443  >  53629 [FIN, ACK] Seq=32 Ack=2 Win=65535 Len=0"
63,10.0.2.15,184.28.149.182,TCP,54,"53629  >  443 [RST, ACK] Seq=2 Ack=32 Win=0 Len=0"
64,10.0.2.15,184.28.149.182,TCP,54,53629  >  443 [RST] Seq=2 Win=0 Len=0
65,184.28.149.182,10.0.2.15,TCP,60,"443  >  53629 [RST, ACK] Seq=4292848732 Ack=2 Win=0 Len=0"
66,10.0.2.15,184.28.149.182,TCP,54,"53710  >  443 [FIN, ACK] Seq=1 Ack=1 Win=63091 Len=0"
67,184.28.149.182,10.0.2.15,TCP,60,443  >  53710 [ACK] Seq=1 Ack=2 Win=65535 Len=0
68,184.28.149.182,10.0.2.15,TLSv1.2,85,Encrypted Alert
69,10.0.2.15,184.28.149.182,TCP,54,"53710  >  443 [RST, ACK] Seq=2 Ack=32 Win=0 Len=0"
70,184.28.149.182,10.0.2.15,TCP,60,"443  >  53710 [FIN, ACK] Seq=32 Ack=2 Win=65535 Len=0"
71,10.0.2.15,184.28.149.182,TCP,54,53710  >  443 [RST] Seq=2 Win=0 Len=0
72,184.28.149.182,10.0.2.15,TCP,60,"443  >  53710 [RST, ACK] Seq=4280240664 Ack=2 Win=0 Len=0"
73,18.155.192.125,10.0.2.15,TLSv1.2,93,Application Data
74,10.0.2.15,18.155.192.125,TCP,54,53593  >  443 [ACK] Seq=1 Ack=40 Win=63480 Len=0
75,10.0.2.15,13.107.42.16,TCP,55,53724  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=1 [TCP segment of a reassembled PDU]
76,13.107.42.16,10.0.2.15,TCP,60,443  >  53724 [ACK] Seq=1 Ack=2 Win=65535 Len=0
77,10.0.2.15,142.250.189.195,TCP,54,"53695  >  443 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0"
78,142.250.189.195,10.0.2.15,TCP,60,443  >  53695 [ACK] Seq=1 Ack=2 Win=65535 Len=0
79,142.250.189.195,10.0.2.15,TCP,60,"443  >  53695 [FIN, ACK] Seq=1 Ack=2 Win=65535 Len=0"
80,10.0.2.15,142.250.189.195,TCP,54,53695  >  443 [ACK] Seq=2 Ack=2 Win=64240 Len=0
81,10.0.2.15,34.104.35.123,TCP,54,"53696  >  80 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0"
82,34.104.35.123,10.0.2.15,TCP,60,80  >  53696 [ACK] Seq=1 Ack=2 Win=65535 Len=0
83,34.104.35.123,10.0.2.15,TCP,60,"80  >  53696 [FIN, ACK] Seq=1 Ack=2 Win=65535 Len=0"
84,10.0.2.15,34.104.35.123,TCP,54,53696  >  80 [ACK] Seq=2 Ack=2 Win=64240 Len=0
85,18.155.192.111,10.0.2.15,TLSv1.2,93,Application Data
86,10.0.2.15,18.155.192.111,TCP,54,53622  >  443 [ACK] Seq=1 Ack=40 Win=63480 Len=0
87,10.0.2.15,142.250.189.195,TCP,66,53729  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
88,142.250.189.195,10.0.2.15,TCP,60,"443  >  53729 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
89,10.0.2.15,142.250.189.195,TCP,54,53729  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0
90,10.0.2.15,142.250.189.195,TLSv1.2,260,Client Hello (SNI=update.googleapis.com)
91,142.250.189.195,10.0.2.15,TCP,60,443  >  53729 [ACK] Seq=1 Ack=207 Win=65535 Len=0
92,142.250.189.195,10.0.2.15,TLSv1.2,1514,Server Hello
93,142.250.189.195,10.0.2.15,TCP,1366,"443  >  53729 [PSH, ACK] Seq=1461 Ack=207 Win=65535 Len=1312 [TCP segment of a reassembled PDU]"
94,10.0.2.15,142.250.189.195,TCP,54,53729  >  443 [ACK] Seq=207 Ack=2773 Win=64240 Len=0
95,142.250.189.195,10.0.2.15,TCP,1514,443  >  53729 [ACK] Seq=2773 Ack=207 Win=65535 Len=1460 [TCP segment of a reassembled PDU]
96,142.250.189.195,10.0.2.15,TLSv1.2,423,"Certificate, Server Key Exchange, Server Hello Done"
97,10.0.2.15,142.250.189.195,TCP,54,53729  >  443 [ACK] Seq=207 Ack=4602 Win=64240 Len=0
98,10.0.2.15,142.250.189.195,TLSv1.2,147,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
99,142.250.189.195,10.0.2.15,TCP,60,443  >  53729 [ACK] Seq=4602 Ack=300 Win=65535 Len=0
100,142.250.189.195,10.0.2.15,TLSv1.2,418,"New Session Ticket, Change Cipher Spec, Encrypted Handshake Message, Application Data"
101,10.0.2.15,142.250.189.195,TLSv1.2,141,Application Data
102,10.0.2.15,142.250.189.195,TLSv1.2,293,Application Data
